PV;Wind Binnenland;Wind Coast;Wind Offshore
0;0.026191;0.102603;0.339073
0;0.026392;0.119121;0.383532
0;0.026115;0.132622;0.398426
0;0.025961;0.154657;0.365797
0.031;0.0276;0.161151;0.288959
0.238;0.028399;0.168741;0.212267
0.392;0.018;0.166633;0.180016
0.482;0.011638;0.168629;0.165604
0.509;0.011612;0.15787;0.169999
0.478;0.011427;0.148232;0.185037
0.387;0.012501;0.142215;0.192583
0.229;0.015937;0.149505;0.188186
0.043;0.018878;0.179297;0.16666
0;0.022268;0.191594;0.135731
0;0.027854;0.178698;0.117896
0;0.040501;0.163408;0.130745
0;0.065096;0.153429;0.173413
0;0.099607;0.145112;0.242266
0;0.130252;0.142084;0.319261
0;0.152824;0.133911;0.395417
0;0.18398;0.127445;0.467717
0;0.224497;0.134673;0.523468
0;0.26491;0.14645;0.568532
0;0.293299;0.161272;0.603322
0;0.292526;0.173857;0.636891
0;0.280238;0.176385;0.666507
0;0.268881;0.179686;0.695246
0;0.264416;0.184461;0.733491
0.01;0.27284;0.190875;0.778072
0.089;0.260371;0.177708;0.813098
0.177;0.272289;0.169064;0.83269
0.234;0.340761;0.18505;0.855318
0.259;0.362517;0.246083;0.860551
0.242;0.336879;0.270201;0.853544
0.165;0.306031;0.270867;0.848424
0.064;0.265491;0.296752;0.84585
0.005;0.252946;0.32418;0.835617
0;0.24312;0.322498;0.816053
0;0.222561;0.311714;0.789871
0;0.218101;0.29741;0.748048
0;0.201088;0.280048;0.698703
0;0.174312;0.261809;0.648157
0;0.176401;0.246142;0.605532
0;0.160792;0.233699;0.565061
0;0.146985;0.218153;0.517195
0;0.159694;0.200273;0.454544
0;0.172844;0.180884;0.383256
0;0.188956;0.163504;0.320322
0;0.181408;0.140059;0.265907
0;0.168978;0.123887;0.222548
0;0.154953;0.115519;0.188634
0;0.150781;0.109406;0.158861
0.005;0.135185;0.099604;0.132905
0.049;0.091784;0.096542;0.105588
0.085;0.067669;0.091447;0.089291
0.12;0.059189;0.091911;0.069841
0.16;0.051087;0.091795;0.059305
0.162;0.047139;0.090022;0.059892
0.127;0.044676;0.095446;0.066709
0.065;0.04293;0.107434;0.085392
0.009;0.048223;0.12851;0.120013
0;0.054357;0.150072;0.130705
0;0.0552;0.153722;0.13395
0;0.051719;0.151512;0.136599
0;0.046441;0.152474;0.144546
0;0.040247;0.164288;0.151444
0;0.032103;0.178594;0.131163
0;0.023079;0.178274;0.089761
0;0.018178;0.158185;0.055411
0;0.021319;0.131597;0.030356
0;0.029542;0.105508;0.020636
0;0.036329;0.088067;0.023312
0;0.035455;0.083803;0.027605
0;0.029174;0.078656;0.02294
0;0.026338;0.066195;0.021413
0;0.024256;0.055338;0.029569
0.009;0.017401;0.053871;0.040705
0.088;0.010833;0.05665;0.046506
0.172;0.009327;0.057002;0.044241
0.251;0.009753;0.065987;0.040456
0.289;0.013713;0.053359;0.026389
0.287;0.019252;0.037994;0.015636
0.259;0.023416;0.026798;0.010462
0.167;0.025759;0.021181;0.009974
0.026;0.026085;0.024923;0.015558
0;0.02267;0.032289;0.019882
0;0.015334;0.034971;0.021576
0;0.006753;0.034294;0.028383
0;0.003171;0.032998;0.02879
0;0.004946;0.02902;0.021553
0;0.008409;0.02295;0.015163
0;0.011879;0.015301;0.008989
0;0.01397;0.010106;0.003311
0;0.016662;0.006018;0.00178
0;0.015388;0.00368;0.001732
0;0.015255;0.002842;0.001722
0;0.018804;0.002799;0.001733
0;0.022451;0.003419;0.001754
0;0.022887;0.004991;0.003612
0;0.023127;0.00636;0.022658
0.007;0.03347;0.009334;0.068129
0.072;0.04615;0.01632;0.129841
0.133;0.050828;0.030387;0.283458
0.136;0.070353;0.060383;0.41486
0.135;0.106492;0.081245;0.444526
0.166;0.158508;0.105904;0.518184
0.107;0.177124;0.131037;0.593823
0.042;0.180886;0.151504;0.670435
0.003;0.209302;0.177698;0.756267
0;0.262926;0.216826;0.803979
0;0.329112;0.261656;0.820587
0;0.367964;0.285267;0.741574
0;0.369481;0.299324;0.612303
0;0.382829;0.329424;0.593184
0;0.392636;0.321466;0.698024
0;0.39112;0.263461;0.743635
0;0.392282;0.260278;0.724584
0;0.416053;0.330737;0.694696
0;0.405961;0.390508;0.653472
0;0.461423;0.359636;0.560038
0;0.507144;0.332365;0.412206
